#    p_error     i_error     d_error   max_error       speed     control
           0           0           0           0           0           0
           0           0           0           0           0           0
        0.76        0.76        0.76        0.76           0     -0.0896
        0.76        1.52           0        0.76           0      0.3664
      0.7602      2.2802      0.0002      0.7602       0.057    0.366258
      0.7598        3.04     -0.0004      0.7602      0.5912    0.366662
      0.7591      3.7991     -0.0007      0.7602      1.0037    0.366919
      0.7576      4.5567     -0.0015      0.7602      1.5265    0.367564
      0.7551      5.3118     -0.0025      0.7602      2.1482    0.368439
       0.752      6.0638     -0.0031      0.7602       2.631     0.36914
      0.7488      6.8126     -0.0032      0.7602      3.0669    0.369552
      0.7441      7.5567     -0.0047      0.7602      3.5674    0.370969
      0.7414      8.2981     -0.0027      0.7602      3.8153    0.370066
       0.735      9.0331     -0.0064      0.7602      4.3066     0.37299
      0.7259       9.759     -0.0091      0.7602      4.8706    0.375611
      0.7167     10.4757     -0.0092      0.7602       5.352    0.376683
       0.706     11.1817     -0.0107      0.7602      5.8315     0.37876
      0.6914     11.8731     -0.0146      0.7602      6.3853    0.382706
      0.6793     12.5524     -0.0121      0.7602      6.7785    0.382537
       0.663     13.2154     -0.0163      0.7602      7.2506     0.38685
      0.6417     13.8571     -0.0213      0.7602       7.794    0.392193
      0.6358     14.4929     -0.0059      0.7602      8.2596    0.383602
       0.621     15.1139     -0.0148      0.7602      8.8045     0.39057
      0.6167     15.7306     -0.0043      0.7602      9.1791    0.384743
      0.6138     16.3444     -0.0029      0.7602      9.7079    0.384222
      0.6087     16.9531     -0.0051      0.7602     10.1473    0.386103
      0.6018     17.5549     -0.0069      0.7602     10.5084    0.387942
      0.5901      18.145     -0.0117      0.7602     10.9394    0.392109
      0.5744     18.7194     -0.0157      0.7602     11.3069    0.396236
      0.5547     19.2741     -0.0197      0.7602     11.9009    0.400803
      0.5392     19.8133     -0.0155      0.7602     12.0816    0.399988
      0.5218     20.3351     -0.0174      0.7602     12.1723    0.403042
      0.4857     20.8208     -0.0361      0.7602     12.6601    0.418233
      0.4554     21.2762     -0.0303      0.7602     13.2995    0.418086
      0.4289     21.7051     -0.0265      0.7602     13.5729    0.418721
       0.385     22.0901     -0.0439      0.7602     13.8658     0.43399
      0.3524     22.4425     -0.0326      0.7602     14.3341    0.430796
      0.2901     22.7326     -0.0623      0.7602     14.7143    0.455469
      0.2611     22.9937      -0.029      0.7602     15.0854    0.438679
      0.2211     23.2148       -0.04      0.7602     15.3773    0.449679
      0.1558     23.3706     -0.0653      0.7602     15.7579    0.472042
      0.0717     23.4423     -0.0841      0.7602     16.1866    0.492573
      0.0209     23.4632     -0.0508      0.7602      16.532    0.478181
      0.0304     23.4936      0.0095      0.7602     16.9002    0.440956
      0.1105     23.6041      0.0801      0.7602     17.3467    0.389785
      0.1952     23.7993      0.0847      0.7602     17.8256    0.377708
      0.2809     24.0802      0.0857      0.7602     18.1643    0.367681
      0.3652     24.4454      0.0843      0.7602     18.5111    0.359248
      0.4471     24.8925      0.0819      0.7602      18.821    0.351679
      0.5257     25.4182      0.0786      0.7602     19.1145    0.345013
       0.612     26.0302      0.0863      0.7602     19.4357      0.3309
      0.6693     26.6995      0.0573      0.7602     19.6571    0.341997
      0.7207     27.4202      0.0514      0.7602     19.9331    0.339883
      0.7294     28.1496      0.0087      0.7602     20.1456    0.364546
      0.7246     28.8742     -0.0048      0.7602     20.3924    0.373174
      0.7163     29.5905     -0.0083      0.7602     20.6688    0.376187
      0.7071     30.2976     -0.0092      0.7602     20.9558    0.377739
      0.6974      30.995     -0.0097      0.7602     21.2445    0.379106
      0.6889     31.6839     -0.0085      0.7602     21.4849    0.379321
      0.6758     32.3597     -0.0131      0.7602     21.8195    0.383522
      0.6612     33.0209     -0.0146      0.7602     22.1507    0.386028
      0.6474     33.6683     -0.0138      0.7602     22.4361    0.387066
      0.6351     34.3034     -0.0123      0.7602      22.673    0.387519
      0.6192     34.9226     -0.0159      0.7602     22.9559    0.391428
      0.6015     35.5241     -0.0177      0.7602     23.2355    0.394455
       0.582     36.1061     -0.0195      0.7602     23.5169     0.39768
      0.5609      36.667     -0.0211      0.7602     23.7988    0.400961
      0.5342     37.2012     -0.0267      0.7602     24.1273    0.407258
      0.5138      37.715     -0.0204      0.7602      24.365    0.405722
      0.4842     38.1992     -0.0296      0.7602     24.7022    0.414498
      0.4518      38.651     -0.0324      0.7602     24.9867    0.419742
      0.3801     39.0311     -0.0717      0.7602      25.279    0.451209
      0.3024     39.3335     -0.0777      0.7602     25.5259    0.463356
      0.1986     39.5321     -0.1038      0.7602     25.9157    0.490434
      0.1187     39.6508     -0.0799      0.7602     26.2661    0.484883
      0.0725     39.7233     -0.0462      0.7602     26.5196    0.469745
      0.0076     39.7309     -0.0649      0.7602     26.9577    0.488104
      0.0404     39.7713      0.0328      0.7602     27.3673    0.425876
       0.064     39.8353      0.0236      0.7602     27.6725      0.4288
      0.0804     39.9157      0.0164      0.7602     28.0052    0.431316
      0.0815     39.9972      0.0011      0.7602     28.2814    0.440375
      0.0707     40.0679     -0.0108      0.7602     28.6039    0.448703
      0.0566     40.1245     -0.0141      0.7602      28.841    0.452234
      0.0356     40.1601      -0.021      0.7602     29.1349    0.458684
       0.037     40.1971      0.0014      0.7602       29.48     0.44509
      0.0794     40.2765      0.0424      0.7602     29.7306    0.415826
      0.1422     40.4187      0.0628      0.7602     30.0579    0.396678
      0.1888     40.6075      0.0466      0.7602     30.2935    0.401272
      0.2208     40.8283       0.032      0.7602     30.4961    0.406512
      0.2351     41.0634      0.0143      0.7602     30.7006    0.415559
      0.2337     41.2971     -0.0014      0.7602     30.8756    0.425133
      0.2176     41.5147     -0.0161      0.7602     31.0962    0.435724
       0.182     41.6967     -0.0356      0.7602     31.3664     0.45134
      0.1403      41.837     -0.0417      0.7602     31.6098    0.459587
      0.0928     41.9298     -0.0475      0.7602     31.8716    0.468292
      0.0436     41.9734     -0.0492      0.7602     32.1434    0.474724
      0.0235     41.9969     -0.0201      0.7602     32.4709    0.459475
      0.0233     42.0202     -0.0002      0.7602     32.7574    0.447557
      0.0735     42.0937      0.0502      0.7602     33.0215    0.411795
      0.1245     42.2182       0.051      0.7602     33.2609    0.405705
      0.1686     42.3868      0.0441      0.7602     33.4827    0.404994
      0.1876     42.5744       0.019      0.7602     33.6577    0.417964
      0.1832     42.7576     -0.0044      0.7602     33.8575    0.432488
      0.1624       42.92     -0.0208      0.7602     34.0124    0.444616
      0.1135     43.0335     -0.0489      0.7602      34.252    0.466855
      0.0576     43.0911     -0.0559      0.7602     34.4721    0.477204
      0.0046     43.0957      -0.053      0.7602      34.719    0.481294
      0.0863      43.182      0.0817      0.7602     35.0672    0.391487
      0.1288     43.3108      0.0425      0.7602     35.2871    0.410332
      0.0751     43.3859     -0.0537      0.7602     35.4356    0.473959
      0.0464     43.4323     -0.0287      0.7602     35.5899    0.462116
      0.1703     43.6026      0.1239      0.7602     35.8205    0.356927
      0.2593     43.8619       0.089      0.7602     36.0022    0.368077
      0.3407     44.2026      0.0814      0.7602     36.0986    0.363683
      0.3634      44.566      0.0227      0.7602     36.1825    0.396406
      0.3399     44.9059     -0.0235      0.7602     36.2623    0.426711
      0.2732     45.1791     -0.0667      0.7602     36.3842    0.459968
      0.1922     45.3713      -0.081      0.7602     36.5205    0.477458
      0.0617      45.433     -0.1305      0.7602      36.765    0.521513
      0.0096     45.4426     -0.0521      0.7602      36.999    0.480204
      0.0596     45.5022        0.05      0.7602     37.2842    0.413444
      0.0895     45.5917      0.0299      0.7602     37.4898    0.422215
      0.1135     45.7052       0.024      0.7602     37.6409    0.423115
       0.127     45.8322      0.0135      0.7602     37.7869     0.42793
      0.1328      45.965      0.0058      0.7602     37.9585    0.431912
      0.1313     46.0963     -0.0015      0.7602     38.1349    0.436457
      0.1281     46.2244     -0.0032      0.7602      38.264    0.437829
